Order ID,Order Created,Voucher Code,Customer ID,City_Destination,Province_Destination,Items,Total price
200119185,2/1/2019 19:30:08,,61468,cimahi,jawa barat,1,"130,000"
200119186,2/1/2019 19:41:46,,5511,jakarta barat,dki jakarta,3,"281,250"
200119187,2/1/2019 19:51:19,,56339,bandung,jawa barat,2,"280,000"
200119188,2/1/2019 20:06:54,FT135,45139,serang,banten,1,"6,372,000"
200119189,2/1/2019 20:28:02,,78591,surabaya,jawa timur,1,"500,000"
200119190,2/1/2019 21:04:15,,61141,jakarta selatan,dki jakarta,2,"255,000"
200119191,2/1/2019 21:08:11,FT135,25368,jakarta pusat,dki jakarta,2,"782,500"
200119192,2/1/2019 21:17:45,,38166,jakarta timur,dki jakarta,1,"72,500"
200119193,2/1/2019 21:33:46,FT100,42933,purwakarta,jawa barat,5,"605,500"
200119194,2/1/2019 21:58:17,FT135,74811,jakarta selatan,dki jakarta,10,"1,052,500"
200119195,2/1/2019 22:25:43,FT135,38166,jakarta timur,dki jakarta,1,"750,000"
200119196,2/1/2019 22:28:47,FT135,38166,jakarta timur,dki jakarta,4,"792,500"
200119197,2/1/2019 22:55:47,FT75,72757,lebak,banten,4,"477,000"
200119198,2/1/2019 23:18:12,FT75,65928,jakarta timur,dki jakarta,1,"585,000"
200119199,2/1/2019 23:20:16,,23476,jakarta selatan,dki jakarta,2,"1,540,000"
200119200,2/2/2019 0:14:18,,38166,jakarta timur,dki jakarta,1,"750,000"
200119201,2/2/2019 0:14:46,,38166,jakarta timur,dki jakarta,1,"225,000"
200119202,2/2/2019 0:15:45,,38166,jakarta timur,dki jakarta,2,"850,000"
200119203,2/2/2019 0:16:18,,38166,jakarta timur,dki jakarta,4,"555,000"
200119204,2/2/2019 1:05:49,,78603,sidoarjo,jawa timur,1,"200,000"
200119205,2/2/2019 3:47:57,,76129,makassar,sulawesi selatan,5,"992,000"
200119206,2/2/2019 4:16:15,,74555,makassar,sulawesi selatan,9,"1,476,500"
200119207,2/2/2019 4:27:20,,71544,ngawi,jawa timur,1,"1,300,000"
200119208,2/2/2019 5:16:41,,38166,jakarta timur,dki jakarta,4,"670,000"
200119209,2/2/2019 5:36:11,,76460,tangerang,banten,1,"150,000"
200119210,2/2/2019 5:53:40,,53625,tangerang selatan,banten,3,"920,000"
200119211,2/2/2019 6:41:10,,74811,jakarta selatan,dki jakarta,6,"645,000"
200119212,2/2/2019 7:44:25,,31950,semarang,jawa tengah,1,"750,000"
200119213,2/2/2019 7:45:02,,31950,semarang,jawa tengah,1,"750,000"
200119214,2/2/2019 8:24:38,,67516,jakarta barat,dki jakarta,2,"1,940,000"
200119215,2/2/2019 8:28:48,,5849,bandung,jawa barat,1,"100,000"
200119216,2/2/2019 8:32:39,,77541,bojonegoro,jawa timur,3,"380,000"
200119217,2/2/2019 8:57:12,,78587,depok,jawa barat,1,"150,000"
200119218,2/2/2019 9:23:28,,38166,jakarta timur,dki jakarta,3,"600,000"
200119219,2/2/2019 9:33:22,,38166,jakarta timur,dki jakarta,8,"1,060,000"
200119220,2/2/2019 9:34:08,,38166,jakarta timur,dki jakarta,1,"600,000"
200119221,2/2/2019 9:37:31,,38166,jakarta timur,dki jakarta,6,"935,000"
200119222,2/2/2019 9:43:24,,38166,jakarta timur,dki jakarta,4,"570,000"
200119223,2/2/2019 9:43:38,,74811,jakarta selatan,dki jakarta,3,"950,000"
200119224,2/2/2019 9:55:06,,31950,semarang,jawa tengah,1,"200,000"
200119225,2/2/2019 9:55:59,,31950,semarang,jawa tengah,1,"600,000"
200119226,2/2/2019 10:03:27,,60670,tangerang,banten,1,"1,300,000"
200119227,2/2/2019 10:23:02,,48436,jakarta utara,dki jakarta,1,"560,000"
200119228,2/2/2019 10:34:18,,76129,makassar,sulawesi selatan,9,"1,470,500"
200119229,2/2/2019 10:39:27,,25697,jakarta utara,dki jakarta,1,"162,000"
200119231,2/2/2019 11:00:47,,41475,bekasi,jawa barat,2,"1,330,000"
200119232,2/2/2019 11:46:29,,1518,pontianak,kalimantan barat,1,"120,000"
200119233,2/2/2019 12:15:27,,38166,jakarta timur,dki jakarta,2,"140,000"
200119234,2/2/2019 12:22:34,,59919,surabaya,jawa timur,1,"350,000"
200119235,2/2/2019 12:41:59,,78615,bogor,jawa barat,1,"1,650,000"
200119236,2/2/2019 12:46:27,,41500,jakarta selatan,dki jakarta,4,"437,500"
200119237,2/2/2019 13:00:55,,60786,jakarta barat,dki jakarta,1,"750,000"
200119238,2/2/2019 13:16:58,,63709,bekasi,jawa barat,1,"110,000"
200119239,2/2/2019 13:31:52,,35573,tangerang selatan,banten,1,"140,000"
200119240,2/2/2019 13:35:22,,74811,jakarta selatan,dki jakarta,8,"777,500"
200119241,2/2/2019 13:43:24,,69551,jakarta timur,dki jakarta,1,"7,560,000"
200119242,2/2/2019 14:14:13,,38166,jakarta timur,dki jakarta,1,"750,000"
200119243,2/2/2019 14:14:34,,31950,semarang,jawa tengah,1,"750,000"
200119244,2/2/2019 14:30:31,,57251,jakarta barat,dki jakarta,2,"275,000"
200119245,2/2/2019 14:36:42,,38166,jakarta timur,dki jakarta,1,"300,000"
200119246,2/2/2019 14:37:07,,38166,jakarta timur,dki jakarta,1,"400,000"
200119247,2/2/2019 14:37:25,,38166,jakarta timur,dki jakarta,1,"250,000"
200119248,2/2/2019 14:37:47,,38166,jakarta timur,dki jakarta,1,"250,000"
200119249,2/2/2019 14:38:09,,38166,jakarta timur,dki jakarta,1,"160,000"
200119250,2/2/2019 14:38:27,,38166,jakarta timur,dki jakarta,1,"150,000"
200119251,2/2/2019 14:38:48,,38166,jakarta timur,dki jakarta,1,"160,000"
200119252,2/2/2019 14:39:05,,38166,jakarta timur,dki jakarta,1,"200,000"
200119253,2/2/2019 14:39:41,,38166,jakarta timur,dki jakarta,2,"280,000"
200119254,2/2/2019 14:40:16,,76488,banyuwangi,jawa timur,3,"375,000"
200119255,2/2/2019 14:40:23,,38166,jakarta timur,dki jakarta,1,"155,000"
200119256,2/2/2019 14:41:10,,76488,banyuwangi,jawa timur,2,"270,000"
200119257,2/2/2019 14:42:44,,76488,banyuwangi,jawa timur,1,"130,000"
200119258,2/2/2019 14:44:12,,38166,jakarta timur,dki jakarta,1,"130,000"
200119259,2/2/2019 14:49:47,,4870,cilegon,banten,2,"195,000"
200119260,2/2/2019 15:24:56,SF-TIARA9KLU5K,30415,tangerang,banten,2,"255,000"
200119261,2/2/2019 15:28:05,,30415,tangerang,banten,1,"150,000"
200119262,2/2/2019 15:30:33,,52190,tangerang selatan,banten,2,"2,260,000"
200119263,2/2/2019 15:56:21,,76488,banyuwangi,jawa timur,2,"400,000"
200119264,2/2/2019 16:14:17,,38166,jakarta timur,dki jakarta,2,"395,000"
200119265,2/2/2019 16:15:09,,38166,jakarta timur,dki jakarta,1,"300,000"
200119266,2/2/2019 16:22:08,,44874,jakarta timur,dki jakarta,1,"175,000"
200119267,2/2/2019 16:25:51,,78591,surabaya,jawa timur,1,"500,000"
200119268,2/2/2019 16:39:19,,75560,makassar,sulawesi selatan,1,"100,000"
200119269,2/2/2019 16:46:31,,74811,jakarta selatan,dki jakarta,2,"650,000"
200119270,2/2/2019 17:37:51,,1131,jakarta barat,dki jakarta,1,"300,000"
200119271,2/2/2019 17:38:38,,2131,jakarta selatan,dki jakarta,1,"13,300,000"
200119272,2/2/2019 17:38:51,,1131,jakarta barat,dki jakarta,1,"350,000"
200119273,2/2/2019 18:09:52,,76129,makassar,sulawesi selatan,8,"1,223,000"
200119274,2/2/2019 18:54:05,,20373,tangerang selatan,banten,1,"116,000"
200119275,2/2/2019 18:55:41,,61361,depok,jawa barat,2,"335,000"
200119276,2/2/2019 19:22:43,RF-ENGGAR130BFCF6B,38166,jakarta timur,dki jakarta,1,"280,000"
200119277,2/2/2019 20:14:42,,78339,bogor,jawa barat,2,"300,000"
200119278,2/2/2019 21:04:50,,74017,bogor,jawa barat,1,"540,000"
200119279,2/2/2019 21:14:27,RF-ENGGAR350A8745E,38166,jakarta timur,dki jakarta,1,"750,000"
200119280,2/2/2019 21:14:52,RF-ENGGAR130983937,38166,jakarta timur,dki jakarta,2,"280,000"
200119281,2/2/2019 21:15:42,,38166,jakarta timur,dki jakarta,1,"125,000"
200119282,2/2/2019 21:23:12,,59677,jakarta utara,dki jakarta,2,"270,000"
200119283,2/2/2019 21:26:49,,76488,banyuwangi,jawa timur,3,"740,000"
200119284,2/2/2019 21:38:48,,74811,jakarta selatan,dki jakarta,6,"637,500"
200119285,2/2/2019 21:43:14,,53355,jakarta utara,dki jakarta,1,"135,000"
200119286,2/2/2019 21:44:42,,74791,kediri,jawa timur,2,"350,000"
200119287,2/2/2019 21:50:27,,14543,tangerang,banten,2,"470,000"
200119288,2/2/2019 21:57:38,,54150,jakarta selatan,dki jakarta,1,"150,000"
200119289,2/2/2019 21:59:36,,14803,magelang,jawa tengah,1,"600,000"
200119290,2/2/2019 22:00:20,,27813,jakarta pusat,dki jakarta,1,"100,000"
200119291,2/2/2019 22:07:48,,59274,jakarta selatan,dki jakarta,1,"155,000"
200119292,2/2/2019 22:30:26,,68703,bekasi,jawa barat,3,"354,000"
200119293,2/2/2019 23:14:33,,38166,jakarta timur,dki jakarta,1,"300,000"
200119294,2/2/2019 23:18:39,,641,jakarta selatan,dki jakarta,1,"120,000"
200119295,2/2/2019 23:37:21,,76488,banyuwangi,jawa timur,2,"400,000"
200119296,2/3/2019 0:27:03,,78529,jakarta selatan,dki jakarta,1,"75,000"
200119297,2/3/2019 0:28:49,,76129,makassar,sulawesi selatan,4,"971,000"
200119298,2/3/2019 1:03:33,,76129,makassar,sulawesi selatan,7,"1,279,000"
200119300,2/3/2019 2:57:15,,66611,jakarta selatan,dki jakarta,1,"155,000"
200119301,2/3/2019 6:36:45,,68703,bekasi,jawa barat,3,"354,000"
200119302,2/3/2019 7:16:14,,74014,sleman,di yogyakarta,1,"250,000"
200119303,2/3/2019 7:20:59,,74811,jakarta selatan,dki jakarta,5,"540,000"
200119304,2/3/2019 7:30:59,,38166,jakarta timur,dki jakarta,1,"125,000"
200119305,2/3/2019 7:46:49,,41475,bekasi,jawa barat,2,"1,330,000"
200119306,2/3/2019 7:50:18,,6011,jakarta selatan,dki jakarta,30,"5,321,750"
200119307,2/3/2019 7:56:19,,74811,jakarta selatan,dki jakarta,2,"650,000"
200119308,2/3/2019 8:29:21,,26523,sleman,di yogyakarta,3,"1,024,000"
200119309,2/3/2019 9:00:33,,64474,sleman,di yogyakarta,8,"1,473,000"
200119311,2/3/2019 9:30:53,,59919,surabaya,jawa timur,1,"350,000"
200119312,2/3/2019 9:42:25,,706,jakarta selatan,dki jakarta,3,"490,000"
200119314,2/3/2019 10:13:06,,48540,jakarta barat,dki jakarta,1,"140,000"
200119315,2/3/2019 10:25:13,,60555,bandung,jawa barat,1,"130,000"
200119316,2/3/2019 11:38:27,,64885,depok,jawa barat,2,"345,000"
200119317,2/3/2019 11:44:27,,23695,badung,bali,1,"225,000"
200119318,2/3/2019 12:21:58,,48912,jakarta pusat,dki jakarta,1,"150,000"
200119319,2/3/2019 12:53:16,,54262,bandung,jawa barat,1,"140,000"
200119320,2/3/2019 13:05:47,,78646,PEKANBARU,RIAU,1,"700,000"
200119321,2/3/2019 13:27:54,,76129,makassar,sulawesi selatan,3,"607,000"
200119322,2/3/2019 13:31:30,,57841,denpasar,bali,9,"1,070,500"
200119323,2/3/2019 13:47:57,,67028,gianyar,bali,2,"192,000"
200119325,2/3/2019 13:56:26,,78648,jakarta timur,dki jakarta,2,"320,000"
200119326,2/3/2019 14:05:29,,38166,jakarta timur,dki jakarta,1,"125,000"
200119327,2/3/2019 14:28:01,,78631,tangerang,banten,1,"120,000"
200119328,2/3/2019 14:45:05,,26523,sleman,di yogyakarta,1,"379,000"
200119329,2/3/2019 14:58:32,,49797,semarang,jawa tengah,2,"156,500"
200119330,2/3/2019 15:16:37,,74811,jakarta selatan,dki jakarta,6,"695,000"
200119332,2/3/2019 15:34:51,,48436,jakarta utara,dki jakarta,1,"300,000"
200119333,2/3/2019 15:50:54,,17406,banyuwangi,jawa timur,2,"600,000"
200119334,2/3/2019 15:51:56,,38166,jakarta timur,dki jakarta,1,"600,000"
200119335,2/3/2019 15:51:59,,17406,banyuwangi,jawa timur,3,"470,000"
200119336,2/3/2019 15:52:34,,17406,banyuwangi,jawa timur,3,"1,025,000"
200119337,2/3/2019 15:52:37,,31950,semarang,jawa tengah,1,"250,000"
200119338,2/3/2019 15:52:54,,38166,jakarta timur,dki jakarta,1,"300,000"
200119339,2/3/2019 15:53:12,,17406,banyuwangi,jawa timur,1,"300,000"
200119340,2/3/2019 15:53:26,,38166,jakarta timur,dki jakarta,1,"200,000"
200119341,2/3/2019 15:54:12,,17406,banyuwangi,jawa timur,1,"300,000"
200119342,2/3/2019 15:55:04,,38166,jakarta timur,dki jakarta,1,"180,000"
200119343,2/3/2019 15:55:20,,38166,jakarta timur,dki jakarta,1,"300,000"
200119344,2/3/2019 16:49:38,,78239,bandung barat,jawa barat,1,"400,000"
200119345,2/3/2019 17:31:43,,54397,jakarta utara,dki jakarta,3,"500,000"
200119346,2/3/2019 18:19:25,,72916,sumedang,jawa barat,1,"110,000"
200119347,2/3/2019 18:54:43,,61722,jakarta pusat,dki jakarta,4,"272,500"
200119349,2/3/2019 19:24:14,,75888,medan,sumatera utara,1,"1,000,000"
200119350,2/3/2019 19:27:38,,72772,jakarta utara,dki jakarta,1,"75,000"
200119351,2/3/2019 19:33:09,,45139,serang,banten,1,"4,500,000"
200119352,2/3/2019 20:02:56,,78591,surabaya,jawa timur,1,"100,000"
200119353,2/3/2019 20:09:58,,78617,tangerang,banten,1,"1,600,000"
200119354,2/3/2019 20:18:46,,1998,jakarta selatan,dki jakarta,5,"585,000"
200119355,2/3/2019 20:32:16,,78656,bekasi,jawa barat,1,"650,000"
200119356,2/3/2019 20:41:33,,74625,bekasi,jawa barat,2,"227,500"
200119357,2/3/2019 20:50:29,,15032,pangkal pinang,bangka belitung,3,"510,000"
200119358,2/3/2019 21:23:02,,39972,sleman,di yogyakarta,1,"105,000"
200119359,2/3/2019 21:25:49,,74811,jakarta selatan,dki jakarta,3,"580,000"
200119360,2/3/2019 21:47:20,,78658,jakarta selatan,dki jakarta,1,"1,200,000"
200119361,2/3/2019 22:32:18,,38166,jakarta timur,dki jakarta,2,"480,000"
200119362,2/3/2019 22:32:29,,38166,jakarta timur,dki jakarta,1,"425,000"
200119363,2/3/2019 22:32:41,,38166,jakarta timur,dki jakarta,1,"600,000"
200119364,2/3/2019 22:33:03,,38166,jakarta timur,dki jakarta,1,"300,000"
200119365,2/3/2019 22:33:20,,38166,jakarta timur,dki jakarta,1,"300,000"
200119366,2/3/2019 22:49:59,,78184,klaten,jawa tengah,1,"315,000"
200119367,2/3/2019 23:28:24,,23270,bandung barat,jawa barat,1,"300,000"
200119368,2/3/2019 23:57:24,,70966,depok,jawa barat,3,"480,000"
200119369,2/4/2019 0:04:08,,26523,sleman,di yogyakarta,1,"379,000"
200119370,2/4/2019 3:02:51,,76129,makassar,sulawesi selatan,4,"512,000"
200119371,2/4/2019 4:36:01,,71975,jakarta timur,dki jakarta,4,"1,027,500"
200119372,2/4/2019 5:32:15,,38166,jakarta timur,dki jakarta,2,"480,000"
200119373,2/4/2019 5:32:27,,38166,jakarta timur,dki jakarta,1,"300,000"
200119374,2/4/2019 5:32:37,,38166,jakarta timur,dki jakarta,1,"600,000"
200119375,2/4/2019 5:32:51,,38166,jakarta timur,dki jakarta,2,"312,500"
200119376,2/4/2019 5:35:42,,78529,jakarta selatan,dki jakarta,1,"75,000"
200119377,2/4/2019 6:28:16,,2362,jakarta timur,dki jakarta,1,"130,000"
200119378,2/4/2019 7:03:27,,74811,jakarta selatan,dki jakarta,3,"580,000"
200119379,2/4/2019 7:16:05,,31829,jakarta barat,dki jakarta,1,"350,000"
200119380,2/4/2019 7:55:31,,15032,pangkal pinang,bangka belitung,2,"330,000"
200119381,2/4/2019 8:08:01,,76825,tangerang,banten,1,"108,750"
200119382,2/4/2019 8:13:54,,23695,badung,bali,1,"200,000"
200119383,2/4/2019 8:16:13,,78638,jakarta timur,dki jakarta,1,"1,550,000"
200119384,2/4/2019 8:20:38,,74811,jakarta selatan,dki jakarta,6,"650,000"
200119385,2/4/2019 8:33:16,,61036,jakarta pusat,dki jakarta,1,"337,500"
200119386,2/4/2019 9:25:42,,5315,probolinggo,jawa timur,2,"2,000,000"
200119387,2/4/2019 9:30:21,,64474,sleman,di yogyakarta,6,"1,150,000"
200119388,2/4/2019 10:39:14,,78670,jakarta selatan,dki jakarta,1,"10,260,000"
200119390,2/4/2019 12:03:53,,72968,surabaya,jawa timur,1,"155,000"
200119391,2/4/2019 12:32:20,,38166,jakarta timur,dki jakarta,4,"1,380,000"
200119392,2/4/2019 12:32:34,,38166,jakarta timur,dki jakarta,2,"312,500"
200119393,2/4/2019 12:38:06,,14769,tangerang selatan,banten,1,"260,000"
200119395,2/4/2019 13:31:21,,78673,jakarta timur,dki jakarta,1,"3,080,000"
200119396,2/4/2019 13:35:59,,47867,jakarta selatan,dki jakarta,3,"359,000"
200119397,2/4/2019 13:40:24,,74811,jakarta selatan,dki jakarta,5,"720,000"
200119398,2/4/2019 14:12:17,,38166,jakarta timur,dki jakarta,1,"650,000"
200119399,2/4/2019 14:12:37,,76488,banyuwangi,jawa timur,2,"649,000"
200119400,2/4/2019 14:13:21,,76488,banyuwangi,jawa timur,1,"140,000"
200119401,2/4/2019 14:13:23,,38166,jakarta timur,dki jakarta,1,"600,000"
200119402,2/4/2019 14:14:34,,38166,jakarta timur,dki jakarta,1,"130,000"
200119403,2/4/2019 14:15:01,,38166,jakarta timur,dki jakarta,1,"150,000"
200119404,2/4/2019 14:16:09,,38166,jakarta timur,dki jakarta,1,"175,000"
200119405,2/4/2019 14:16:32,,76488,banyuwangi,jawa timur,2,"150,000"
200119406,2/4/2019 14:35:53,,31829,jakarta barat,dki jakarta,1,"350,000"
200119407,2/4/2019 14:38:38,,15032,pangkal pinang,bangka belitung,2,"330,000"
200119408,2/4/2019 14:45:26,,46105,bogor,jawa barat,1,"97,500"
200119409,2/4/2019 15:11:34,,7798,jakarta pusat,dki jakarta,3,"300,000"
200119410,2/4/2019 15:34:56,,31950,semarang,jawa tengah,2,"350,000"
200119411,2/4/2019 15:35:21,,31950,semarang,jawa tengah,1,"90,000"
200119412,2/4/2019 15:36:06,,31950,semarang,jawa tengah,1,"80,000"
200119413,2/4/2019 15:37:29,,31504,bekasi,jawa barat,4,"1,017,000"
200119414,2/4/2019 15:44:32,,4892,mataram,nusa tenggara barat (ntb),2,"365,000"
200119415,2/4/2019 15:59:46,,31950,semarang,jawa tengah,1,"70,000"
200119416,2/4/2019 16:01:14,,78184,klaten,jawa tengah,1,"315,000"
200119417,2/4/2019 16:07:36,,76488,banyuwangi,jawa timur,1,"200,000"
200119418,2/4/2019 16:18:27,,38166,jakarta timur,dki jakarta,1,"250,000"
200119419,2/4/2019 16:19:33,,76488,banyuwangi,jawa timur,1,"155,000"
200119420,2/4/2019 16:41:21,,74811,jakarta selatan,dki jakarta,3,"415,000"
200119421,2/4/2019 16:47:31,,78677,KUTAI BARAT,KALIMANTAN TIMUR,1,"9,000,000"
200119422,2/4/2019 17:00:24,,74811,jakarta selatan,dki jakarta,5,"770,000"
200119424,2/4/2019 18:20:10,,57605,bogor,jawa barat,2,"210,000"
200119425,2/4/2019 18:48:52,,70090,surakarta,jawa tengah,3,"510,000"
200119426,2/4/2019 18:55:07,,64474,sleman,di yogyakarta,7,"1,100,000"
200119427,2/4/2019 19:14:27,,45820,jakarta barat,dki jakarta,1,"130,000"
200119428,2/4/2019 19:21:44,,11829,jakarta selatan,dki jakarta,1,"175,000"
200119429,2/4/2019 19:32:16,,38166,jakarta timur,dki jakarta,2,"412,500"
200119430,2/4/2019 19:32:31,,38166,jakarta timur,dki jakarta,3,"680,000"
200119431,2/4/2019 19:32:44,,38166,jakarta timur,dki jakarta,1,"600,000"
200119432,2/4/2019 19:45:06,,62828,tangerang selatan,banten,3,"414,000"
200119433,2/4/2019 19:53:59,,2131,jakarta selatan,dki jakarta,1,"1,000,000"
200119434,2/4/2019 20:48:51,,74811,jakarta selatan,dki jakarta,5,"780,000"
200119435,2/4/2019 21:22:04,,71086,jakarta pusat,dki jakarta,1,"121,500"
200119436,2/4/2019 21:32:49,,38166,jakarta timur,dki jakarta,1,"175,000"
200119437,2/4/2019 21:48:01,,76129,makassar,sulawesi selatan,5,"757,000"
200119438,2/4/2019 21:56:58,,30588,jakarta timur,dki jakarta,1,"900,000"
200119439,2/4/2019 22:16:40,,44762,jakarta utara,dki jakarta,2,"805,000"
200119440,2/4/2019 22:47:09,,78621,tangerang selatan,banten,1,"1,300,000"
200119441,2/4/2019 23:44:11,,78690,jakarta barat,dki jakarta,2,"3,650,000"
200119442,2/5/2019 0:07:58,,62907,depok,jawa barat,1,"80,000"
200119443,2/5/2019 0:10:02,,23700,surabaya,jawa timur,2,"290,000"
200119444,2/5/2019 0:35:18,,67966,tangerang,banten,3,"440,000"
200119445,2/5/2019 0:39:05,,76488,banyuwangi,jawa timur,2,"475,000"
200119446,2/5/2019 1:03:14,WD75,76488,banyuwangi,jawa timur,2,"530,000"
200119447,2/5/2019 1:59:05,WD135,76129,makassar,sulawesi selatan,5,"800,000"
200119448,2/5/2019 2:32:15,,38166,jakarta timur,dki jakarta,2,"412,500"
200119449,2/5/2019 2:32:30,,38166,jakarta timur,dki jakarta,3,"680,000"
200119450,2/5/2019 2:32:43,,38166,jakarta timur,dki jakarta,1,"600,000"
200119451,2/5/2019 3:09:08,WD135,31950,semarang,jawa tengah,1,"750,000"
200119452,2/5/2019 6:14:08,,55378,jakarta selatan,dki jakarta,2,"850,000"
200119453,2/5/2019 6:17:14,,46803,bogor,jawa barat,1,"150,000"
200119454,2/5/2019 6:31:56,WD135,64474,sleman,di yogyakarta,14,"2,377,500"
200119455,2/5/2019 7:20:57,WD135,74811,jakarta selatan,dki jakarta,5,"830,000"
200119456,2/5/2019 7:28:01,WD135,74811,jakarta selatan,dki jakarta,6,"885,000"
200119457,2/5/2019 7:54:01,RF-SARIF1352AF86D,54757,bogor,jawa barat,1,"220,000"
200119458,2/5/2019 8:10:55,WD135,20823,jakarta selatan,dki jakarta,1,"2,970,000"
200119459,2/5/2019 8:35:07,WD75,76488,banyuwangi,jawa timur,2,"475,000"
